m1,n1,m2,n2,cuda_times,lin_scale_times,cuda_average,lin_scale_average,speed_up
800.0,32.0,100.0,32.0,"[28.262, 33.9046, 30.0714, 29.0082, 27.6806]","[1.69123, 1.89504, 2.16918, 2.61325, 1.9321]",30.1662,2.1523925,14.015194719364615
800.0,64.0,100.0,64.0,"[73.0475, 83.5707, 68.1274, 58.3028, 69.6527]","[2.68493, 2.55888, 2.91411, 2.56963, 3.35712]",69.9134,2.849935,24.531577035967487
800.0,2.0,200.0,2.0,"[4.15741, 4.49072, 4.26032, 4.60256, 4.12435]","[1.06086, 0.779584, 1.81862, 0.79056, 0.878464]",4.3694875,1.066807,4.095855670238384
800.0,4.0,200.0,4.0,"[6.09152, 9.1943, 6.6048, 6.99597, 6.93485]","[1.30867, 0.975008, 1.03382, 1.26816, 1.46432]",7.43248,1.185327,6.270404706886792
800.0,8.0,200.0,8.0,"[11.3552, 14.0884, 14.8153, 11.5209, 13.476]","[1.40288, 1.10912, 2.13478, 1.40269, 1.26362]",13.47515,1.4775524999999998,9.119912828816574
800.0,16.0,200.0,16.0,"[25.3153, 26.5949, 25.7303, 22.5669, 24.6824]","[1.3312, 2.03571, 1.32506, 1.38477, 2.91818]",24.893625,1.91593,12.992972081443478
800.0,32.0,200.0,32.0,"[53.9572, 57.7851, 55.1588, 59.2467, 56.9975]","[2.07312, 1.91395, 1.92307, 1.80224, 2.16339]",57.297025,1.9506625,29.373110417614527
800.0,64.0,200.0,64.0,"[126.9, 117.173, 113.776, 114.133, 123.253]","[2.75654, 2.49021, 3.83405, 2.36122, 2.40832]",117.08375,2.77345,42.21592240711028
800.0,2.0,400.0,2.0,"[5.83885, 5.95075, 6.63347, 11.0305, 6.8055]","[0.84912, 0.866752, 1.03014, 1.08326, 1.05789]",7.605055,1.0095105,7.5334085182868336
800.0,4.0,400.0,4.0,"[12.3573, 14.7945, 12.7873, 11.9059, 14.2848]","[1.16019, 1.51619, 1.22998, 1.19872, 1.25827]",13.443125000000002,1.3007900000000001,10.334585136724607
